goal,target,indicator,country_code,country,year,source,beach_litter_in_ocean_percent
14,14.1,14.1.1,344,"china, hong kong special administrative region",2018,center for ocean-atmospheric prediction studies (coaps),22.72
14,14.1,14.1.1,344,"china, hong kong special administrative region",2019,center for ocean-atmospheric prediction studies (coaps),17.39
14,14.1,14.1.1,344,"china, hong kong special administrative region",2020,center for ocean-atmospheric prediction studies (coaps),18.93
14,14.1,14.1.1,344,"china, hong kong special administrative region",2021,center for ocean-atmospheric prediction studies (coaps),17.47
14,14.1,14.1.1,170,colombia,2017,center for ocean-atmospheric prediction studies (coaps),14.34
14,14.1,14.1.1,170,colombia,2018,center for ocean-atmospheric prediction studies (coaps),10.51
14,14.1,14.1.1,170,colombia,2019,center for ocean-atmospheric prediction studies (coaps),9.59
14,14.1,14.1.1,170,colombia,2020,center for ocean-atmospheric prediction studies (coaps),16.45
14,14.1,14.1.1,170,colombia,2021,center for ocean-atmospheric prediction studies (coaps),13.26
14,14.1,14.1.1,174,comoros,2017,center for ocean-atmospheric prediction studies (coaps),36.78
14,14.1,14.1.1,174,comoros,2018,center for ocean-atmospheric prediction studies (coaps),39.28
14,14.1,14.1.1,174,comoros,2019,center for ocean-atmospheric prediction studies (coaps),39.13
14,14.1,14.1.1,174,comoros,2020,center for ocean-atmospheric prediction studies (coaps),42.33
14,14.1,14.1.1,174,comoros,2021,center for ocean-atmospheric prediction studies (coaps),40.01
14,14.1,14.1.1,178,congo,2017,center for ocean-atmospheric prediction studies (coaps),2.19
14,14.1,14.1.1,178,congo,2018,center for ocean-atmospheric prediction studies (coaps),1.15
14,14.1,14.1.1,178,congo,2019,center for ocean-atmospheric prediction studies (coaps),0.37
14,14.1,14.1.1,178,congo,2020,center for ocean-atmospheric prediction studies (coaps),1.86
14,14.1,14.1.1,178,congo,2021,center for ocean-atmospheric prediction studies (coaps),1.49
14,14.1,14.1.1,188,costa rica,2017,center for ocean-atmospheric prediction studies (coaps),30.6
14,14.1,14.1.1,188,costa rica,2018,center for ocean-atmospheric prediction studies (coaps),27.8
14,14.1,14.1.1,188,costa rica,2019,center for ocean-atmospheric prediction studies (coaps),29.66
14,14.1,14.1.1,188,costa rica,2020,center for ocean-atmospheric prediction studies (coaps),31.01
14,14.1,14.1.1,188,costa rica,2021,center for ocean-atmospheric prediction studies (coaps),28.0
14,14.1,14.1.1,384,côte d'ivoire,2017,center for ocean-atmospheric prediction studies (coaps),0.03
14,14.1,14.1.1,384,côte d'ivoire,2018,center for ocean-atmospheric prediction studies (coaps),1.37
14,14.1,14.1.1,384,côte d'ivoire,2019,center for ocean-atmospheric prediction studies (coaps),1.73
14,14.1,14.1.1,384,côte d'ivoire,2020,center for ocean-atmospheric prediction studies (coaps),1.84
14,14.1,14.1.1,384,côte d'ivoire,2021,center for ocean-atmospheric prediction studies (coaps),1.54
14,14.1,14.1.1,191,croatia,2017,center for ocean-atmospheric prediction studies (coaps),42.63
14,14.1,14.1.1,191,croatia,2018,center for ocean-atmospheric prediction studies (coaps),36.54
14,14.1,14.1.1,191,croatia,2019,center for ocean-atmospheric prediction studies (coaps),38.96
14,14.1,14.1.1,191,croatia,2020,center for ocean-atmospheric prediction studies (coaps),37.77
14,14.1,14.1.1,191,croatia,2021,center for ocean-atmospheric prediction studies (coaps),41.3
14,14.1,14.1.1,196,cyprus,2017,center for ocean-atmospheric prediction studies (coaps),22.42
14,14.1,14.1.1,196,cyprus,2018,center for ocean-atmospheric prediction studies (coaps),26.01
14,14.1,14.1.1,196,cyprus,2019,center for ocean-atmospheric prediction studies (coaps),31.28
14,14.1,14.1.1,196,cyprus,2020,center for ocean-atmospheric prediction studies (coaps),22.83
