goal,target,indicator,country_code,country,year,source,beach_litter_in_ocean_value
14,14.1,14.1.1,178,congo,2020,center for ocean-atmospheric prediction studies (coaps),182.0
14,14.1,14.1.1,178,congo,2021,center for ocean-atmospheric prediction studies (coaps),149.0
14,14.1,14.1.1,188,costa rica,2017,center for ocean-atmospheric prediction studies (coaps),1760.0
14,14.1,14.1.1,188,costa rica,2018,center for ocean-atmospheric prediction studies (coaps),1673.0
14,14.1,14.1.1,188,costa rica,2019,center for ocean-atmospheric prediction studies (coaps),1849.0
14,14.1,14.1.1,188,costa rica,2020,center for ocean-atmospheric prediction studies (coaps),1987.0
14,14.1,14.1.1,188,costa rica,2021,center for ocean-atmospheric prediction studies (coaps),1835.0
14,14.1,14.1.1,384,côte d'ivoire,2017,center for ocean-atmospheric prediction studies (coaps),14.0
14,14.1,14.1.1,384,côte d'ivoire,2018,center for ocean-atmospheric prediction studies (coaps),770.0
14,14.1,14.1.1,384,côte d'ivoire,2019,center for ocean-atmospheric prediction studies (coaps),1008.0
14,14.1,14.1.1,384,côte d'ivoire,2020,center for ocean-atmospheric prediction studies (coaps),1107.0
14,14.1,14.1.1,384,côte d'ivoire,2021,center for ocean-atmospheric prediction studies (coaps),945.0
14,14.1,14.1.1,191,croatia,2017,center for ocean-atmospheric prediction studies (coaps),2554.0
14,14.1,14.1.1,191,croatia,2018,center for ocean-atmospheric prediction studies (coaps),2290.0
14,14.1,14.1.1,191,croatia,2019,center for ocean-atmospheric prediction studies (coaps),2529.0
14,14.1,14.1.1,191,croatia,2020,center for ocean-atmospheric prediction studies (coaps),2521.0
14,14.1,14.1.1,191,croatia,2021,center for ocean-atmospheric prediction studies (coaps),2819.0
14,14.1,14.1.1,196,cyprus,2017,center for ocean-atmospheric prediction studies (coaps),37.0
14,14.1,14.1.1,196,cyprus,2018,center for ocean-atmospheric prediction studies (coaps),45.0
14,14.1,14.1.1,196,cyprus,2019,center for ocean-atmospheric prediction studies (coaps),56.0
14,14.1,14.1.1,196,cyprus,2020,center for ocean-atmospheric prediction studies (coaps),42.0
14,14.1,14.1.1,196,cyprus,2021,center for ocean-atmospheric prediction studies (coaps),45.0
14,14.1,14.1.1,408,democratic people's republic of korea,2017,center for ocean-atmospheric prediction studies (coaps),9472.0
14,14.1,14.1.1,408,democratic people's republic of korea,2018,center for ocean-atmospheric prediction studies (coaps),11227.0
14,14.1,14.1.1,408,democratic people's republic of korea,2019,center for ocean-atmospheric prediction studies (coaps),10906.0
14,14.1,14.1.1,408,democratic people's republic of korea,2020,center for ocean-atmospheric prediction studies (coaps),10567.0
14,14.1,14.1.1,408,democratic people's republic of korea,2021,center for ocean-atmospheric prediction studies (coaps),11053.0
14,14.1,14.1.1,180,democratic republic of the congo,2017,center for ocean-atmospheric prediction studies (coaps),7.0
14,14.1,14.1.1,180,democratic republic of the congo,2018,center for ocean-atmospheric prediction studies (coaps),10.0
14,14.1,14.1.1,180,democratic republic of the congo,2019,center for ocean-atmospheric prediction studies (coaps),8.0
14,14.1,14.1.1,180,democratic republic of the congo,2020,center for ocean-atmospheric prediction studies (coaps),7.0
14,14.1,14.1.1,180,democratic republic of the congo,2021,center for ocean-atmospheric prediction studies (coaps),4.0
14,14.1,14.1.1,208,denmark,2017,center for ocean-atmospheric prediction studies (coaps),15.0
14,14.1,14.1.1,208,denmark,2018,center for ocean-atmospheric prediction studies (coaps),41.0
14,14.1,14.1.1,208,denmark,2019,center for ocean-atmospheric prediction studies (coaps),43.0
14,14.1,14.1.1,208,denmark,2020,center for ocean-atmospheric prediction studies (coaps),29.0
14,14.1,14.1.1,208,denmark,2021,center for ocean-atmospheric prediction studies (coaps),37.0
14,14.1,14.1.1,262,djibouti,2017,center for ocean-atmospheric prediction studies (coaps),742.0
14,14.1,14.1.1,262,djibouti,2018,center for ocean-atmospheric prediction studies (coaps),632.0
14,14.1,14.1.1,262,djibouti,2019,center for ocean-atmospheric prediction studies (coaps),467.0
14,14.1,14.1.1,262,djibouti,2020,center for ocean-atmospheric prediction studies (coaps),896.0
14,14.1,14.1.1,262,djibouti,2021,center for ocean-atmospheric prediction studies (coaps),714.0
14,14.1,14.1.1,212,dominica,2017,center for ocean-atmospheric prediction studies (coaps),317.0
14,14.1,14.1.1,212,dominica,2018,center for ocean-atmospheric prediction studies (coaps),316.0
14,14.1,14.1.1,212,dominica,2019,center for ocean-atmospheric prediction studies (coaps),303.0
14,14.1,14.1.1,212,dominica,2020,center for ocean-atmospheric prediction studies (coaps),353.0
14,14.1,14.1.1,212,dominica,2021,center for ocean-atmospheric prediction studies (coaps),364.0
14,14.1,14.1.1,214,dominican republic,2017,center for ocean-atmospheric prediction studies (coaps),40927.0
14,14.1,14.1.1,214,dominican republic,2018,center for ocean-atmospheric prediction studies (coaps),42248.0
14,14.1,14.1.1,214,dominican republic,2019,center for ocean-atmospheric prediction studies (coaps),43360.0
14,14.1,14.1.1,214,dominican republic,2020,center for ocean-atmospheric prediction studies (coaps),53214.0
14,14.1,14.1.1,214,dominican republic,2021,center for ocean-atmospheric prediction studies (coaps),55594.0
14,14.1,14.1.1,14,eastern africa,2022,center for ocean-atmospheric prediction studies (coaps),159286.0
14,14.1,14.1.1,753,eastern and south-eastern asia,2017,center for ocean-atmospheric prediction studies (coaps),2663752.0
14,14.1,14.1.1,753,eastern and south-eastern asia,2018,center for ocean-atmospheric prediction studies (coaps),2518638.0
14,14.1,14.1.1,753,eastern and south-eastern asia,2019,center for ocean-atmospheric prediction studies (coaps),2404785.0
14,14.1,14.1.1,753,eastern and south-eastern asia,2020,center for ocean-atmospheric prediction studies (coaps),2613940.0
14,14.1,14.1.1,753,eastern and south-eastern asia,2021,center for ocean-atmospheric prediction studies (coaps),2990925.0
14,14.1,14.1.1,753,eastern and south-eastern asia,2022,center for ocean-atmospheric prediction studies (coaps),2949685.0
14,14.1,14.1.1,30,eastern asia,2017,center for ocean-atmospheric prediction studies (coaps),680866.0
14,14.1,14.1.1,30,eastern asia,2018,center for ocean-atmospheric prediction studies (coaps),612011.0
14,14.1,14.1.1,30,eastern asia,2019,center for ocean-atmospheric prediction studies (coaps),535971.0
14,14.1,14.1.1,30,eastern asia,2020,center for ocean-atmospheric prediction studies (coaps),532260.0
14,14.1,14.1.1,30,eastern asia,2021,center for ocean-atmospheric prediction studies (coaps),762329.0
14,14.1,14.1.1,30,eastern asia,2022,center for ocean-atmospheric prediction studies (coaps),618258.0
14,14.1,14.1.1,151,eastern europe,2017,center for ocean-atmospheric prediction studies (coaps),28062.0
14,14.1,14.1.1,151,eastern europe,2018,center for ocean-atmospheric prediction studies (coaps),23635.0
14,14.1,14.1.1,151,eastern europe,2019,center for ocean-atmospheric prediction studies (coaps),27640.0
14,14.1,14.1.1,151,eastern europe,2020,center for ocean-atmospheric prediction studies (coaps),25458.0
14,14.1,14.1.1,151,eastern europe,2021,center for ocean-atmospheric prediction studies (coaps),30171.0
14,14.1,14.1.1,151,eastern europe,2022,center for ocean-atmospheric prediction studies (coaps),31172.0
14,14.1,14.1.1,218,ecuador,2017,center for ocean-atmospheric prediction studies (coaps),198.0
14,14.1,14.1.1,218,ecuador,2018,center for ocean-atmospheric prediction studies (coaps),267.0
14,14.1,14.1.1,218,ecuador,2019,center for ocean-atmospheric prediction studies (coaps),357.0
14,14.1,14.1.1,218,ecuador,2020,center for ocean-atmospheric prediction studies (coaps),150.0
14,14.1,14.1.1,218,ecuador,2021,center for ocean-atmospheric prediction studies (coaps),49.0
14,14.1,14.1.1,818,egypt,2017,center for ocean-atmospheric prediction studies (coaps),17502.0
14,14.1,14.1.1,818,egypt,2018,center for ocean-atmospheric prediction studies (coaps),41101.0
14,14.1,14.1.1,818,egypt,2019,center for ocean-atmospheric prediction studies (coaps),51536.0
14,14.1,14.1.1,818,egypt,2020,center for ocean-atmospheric prediction studies (coaps),41062.0
14,14.1,14.1.1,818,egypt,2021,center for ocean-atmospheric prediction studies (coaps),41213.0
14,14.1,14.1.1,222,el salvador,2017,center for ocean-atmospheric prediction studies (coaps),9905.0
14,14.1,14.1.1,222,el salvador,2018,center for ocean-atmospheric prediction studies (coaps),10857.0
14,14.1,14.1.1,222,el salvador,2019,center for ocean-atmospheric prediction studies (coaps),11391.0
14,14.1,14.1.1,222,el salvador,2020,center for ocean-atmospheric prediction studies (coaps),10288.0
14,14.1,14.1.1,222,el salvador,2021,center for ocean-atmospheric prediction studies (coaps),10105.0
14,14.1,14.1.1,226,equatorial guinea,2017,center for ocean-atmospheric prediction studies (coaps),75.0
14,14.1,14.1.1,226,equatorial guinea,2018,center for ocean-atmospheric prediction studies (coaps),78.0
14,14.1,14.1.1,226,equatorial guinea,2019,center for ocean-atmospheric prediction studies (coaps),68.0
14,14.1,14.1.1,226,equatorial guinea,2020,center for ocean-atmospheric prediction studies (coaps),82.0
14,14.1,14.1.1,226,equatorial guinea,2021,center for ocean-atmospheric prediction studies (coaps),196.0
14,14.1,14.1.1,232,eritrea,2017,center for ocean-atmospheric prediction studies (coaps),612.0
14,14.1,14.1.1,232,eritrea,2018,center for ocean-atmospheric prediction studies (coaps),797.0
