goal,target,indicator,country_code,country,year,source,beach_litter_in_beach_value
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),744.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),545.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),153459.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),21775.0
14,14.1,14.1.1,12,algeria,2017,center for ocean-atmospheric prediction studies (coaps),233.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),355.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),29356.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),144421.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),548.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),516.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),722.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),40.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),1.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),3.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),2602.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),1036.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),1429.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),737.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),39.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),11967.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),34913.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),20773.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),14.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),731.0
14,14.1,14.1.1,12,algeria,2018,center for ocean-atmospheric prediction studies (coaps),38597.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),1550.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),1.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),28684.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),2958.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),39883.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),12487.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),7.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),2402.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),18.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),2512.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),595.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),9.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),11.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),447.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),123.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),886.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),678.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),29721.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),157950.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),653.0
14,14.1,14.1.1,12,algeria,2019,center for ocean-atmospheric prediction studies (coaps),34309.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),35473.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),695.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),175154.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),30133.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),1293.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),7.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),178.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),748.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),2.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),434.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),2105.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),2426.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),7865.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),338.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),50375.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),4799.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),36292.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),1888.0
14,14.1,14.1.1,12,algeria,2020,center for ocean-atmospheric prediction studies (coaps),1.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),1.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),1589.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),44978.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),4316.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),8260.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),43223.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),16.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),2655.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),3593.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),410.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),27.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),1303.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),1152.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),80.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),19.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),1183.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),26267.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),180214.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),40225.0
14,14.1,14.1.1,12,algeria,2021,center for ocean-atmospheric prediction studies (coaps),868.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),1048.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),41921.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),24746.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),2.0
