goal,target,indicator,country_code,country,year,source,beach_litter_in_beach_percent
14,14.1,14.1.1,76,brazil,2017,center for ocean-atmospheric prediction studies (coaps),67.18
14,14.1,14.1.1,76,brazil,2018,center for ocean-atmospheric prediction studies (coaps),66.32
14,14.1,14.1.1,76,brazil,2019,center for ocean-atmospheric prediction studies (coaps),68.01
14,14.1,14.1.1,76,brazil,2020,center for ocean-atmospheric prediction studies (coaps),66.03
14,14.1,14.1.1,76,brazil,2021,center for ocean-atmospheric prediction studies (coaps),64.2
14,14.1,14.1.1,96,brunei darussalam,2017,center for ocean-atmospheric prediction studies (coaps),54.48
14,14.1,14.1.1,96,brunei darussalam,2018,center for ocean-atmospheric prediction studies (coaps),59.78
14,14.1,14.1.1,96,brunei darussalam,2019,center for ocean-atmospheric prediction studies (coaps),61.64
14,14.1,14.1.1,96,brunei darussalam,2020,center for ocean-atmospheric prediction studies (coaps),53.72
14,14.1,14.1.1,96,brunei darussalam,2021,center for ocean-atmospheric prediction studies (coaps),53.94
14,14.1,14.1.1,100,bulgaria,2017,center for ocean-atmospheric prediction studies (coaps),56.25
14,14.1,14.1.1,100,bulgaria,2018,center for ocean-atmospheric prediction studies (coaps),83.23
14,14.1,14.1.1,100,bulgaria,2019,center for ocean-atmospheric prediction studies (coaps),69.94
14,14.1,14.1.1,100,bulgaria,2020,center for ocean-atmospheric prediction studies (coaps),83.15
14,14.1,14.1.1,100,bulgaria,2021,center for ocean-atmospheric prediction studies (coaps),65.93
14,14.1,14.1.1,132,cabo verde,2017,center for ocean-atmospheric prediction studies (coaps),40.03
14,14.1,14.1.1,132,cabo verde,2018,center for ocean-atmospheric prediction studies (coaps),41.59
14,14.1,14.1.1,132,cabo verde,2019,center for ocean-atmospheric prediction studies (coaps),43.86
14,14.1,14.1.1,132,cabo verde,2020,center for ocean-atmospheric prediction studies (coaps),42.14
14,14.1,14.1.1,132,cabo verde,2021,center for ocean-atmospheric prediction studies (coaps),42.62
14,14.1,14.1.1,116,cambodia,2017,center for ocean-atmospheric prediction studies (coaps),67.18
14,14.1,14.1.1,116,cambodia,2018,center for ocean-atmospheric prediction studies (coaps),73.62
14,14.1,14.1.1,116,cambodia,2019,center for ocean-atmospheric prediction studies (coaps),73.15
14,14.1,14.1.1,116,cambodia,2020,center for ocean-atmospheric prediction studies (coaps),75.33
14,14.1,14.1.1,116,cambodia,2021,center for ocean-atmospheric prediction studies (coaps),70.44
14,14.1,14.1.1,120,cameroon,2017,center for ocean-atmospheric prediction studies (coaps),99.6
14,14.1,14.1.1,120,cameroon,2018,center for ocean-atmospheric prediction studies (coaps),99.56
14,14.1,14.1.1,120,cameroon,2019,center for ocean-atmospheric prediction studies (coaps),99.72
14,14.1,14.1.1,120,cameroon,2020,center for ocean-atmospheric prediction studies (coaps),99.63
14,14.1,14.1.1,120,cameroon,2021,center for ocean-atmospheric prediction studies (coaps),99.14
14,14.1,14.1.1,124,canada,2017,center for ocean-atmospheric prediction studies (coaps),62.2
14,14.1,14.1.1,124,canada,2018,center for ocean-atmospheric prediction studies (coaps),69.85
14,14.1,14.1.1,124,canada,2019,center for ocean-atmospheric prediction studies (coaps),65.88
14,14.1,14.1.1,124,canada,2020,center for ocean-atmospheric prediction studies (coaps),60.58
14,14.1,14.1.1,124,canada,2021,center for ocean-atmospheric prediction studies (coaps),66.82
14,14.1,14.1.1,29,caribbean,2022,center for ocean-atmospheric prediction studies (coaps),57.6
14,14.1,14.1.1,13,central america,2017,center for ocean-atmospheric prediction studies (coaps),61.51
14,14.1,14.1.1,13,central america,2018,center for ocean-atmospheric prediction studies (coaps),59.62
14,14.1,14.1.1,13,central america,2019,center for ocean-atmospheric prediction studies (coaps),60.3
14,14.1,14.1.1,13,central america,2020,center for ocean-atmospheric prediction studies (coaps),63.24
14,14.1,14.1.1,13,central america,2021,center for ocean-atmospheric prediction studies (coaps),65.1
14,14.1,14.1.1,13,central america,2022,center for ocean-atmospheric prediction studies (coaps),65.78
14,14.1,14.1.1,62,central and southern asia,2022,center for ocean-atmospheric prediction studies (coaps),67.42
14,14.1,14.1.1,152,chile,2017,center for ocean-atmospheric prediction studies (coaps),24.54
14,14.1,14.1.1,152,chile,2018,center for ocean-atmospheric prediction studies (coaps),24.72
14,14.1,14.1.1,152,chile,2019,center for ocean-atmospheric prediction studies (coaps),27.04
14,14.1,14.1.1,152,chile,2020,center for ocean-atmospheric prediction studies (coaps),30.34
14,14.1,14.1.1,152,chile,2021,center for ocean-atmospheric prediction studies (coaps),34.66
14,14.1,14.1.1,156,china,2017,center for ocean-atmospheric prediction studies (coaps),77.92
14,14.1,14.1.1,156,china,2018,center for ocean-atmospheric prediction studies (coaps),81.25
14,14.1,14.1.1,156,china,2019,center for ocean-atmospheric prediction studies (coaps),84.25
14,14.1,14.1.1,156,china,2020,center for ocean-atmospheric prediction studies (coaps),84.81
14,14.1,14.1.1,156,china,2021,center for ocean-atmospheric prediction studies (coaps),78.3
14,14.1,14.1.1,344,"china, hong kong special administrative region",2017,center for ocean-atmospheric prediction studies (coaps),78.44
14,14.1,14.1.1,344,"china, hong kong special administrative region",2018,center for ocean-atmospheric prediction studies (coaps),77.28
14,14.1,14.1.1,344,"china, hong kong special administrative region",2019,center for ocean-atmospheric prediction studies (coaps),82.6
14,14.1,14.1.1,344,"china, hong kong special administrative region",2020,center for ocean-atmospheric prediction studies (coaps),81.07
14,14.1,14.1.1,344,"china, hong kong special administrative region",2021,center for ocean-atmospheric prediction studies (coaps),82.53
14,14.1,14.1.1,170,colombia,2017,center for ocean-atmospheric prediction studies (coaps),85.66
14,14.1,14.1.1,170,colombia,2018,center for ocean-atmospheric prediction studies (coaps),89.49
14,14.1,14.1.1,170,colombia,2019,center for ocean-atmospheric prediction studies (coaps),90.41
14,14.1,14.1.1,170,colombia,2020,center for ocean-atmospheric prediction studies (coaps),83.55
14,14.1,14.1.1,170,colombia,2021,center for ocean-atmospheric prediction studies (coaps),86.74
14,14.1,14.1.1,174,comoros,2017,center for ocean-atmospheric prediction studies (coaps),63.22
14,14.1,14.1.1,174,comoros,2018,center for ocean-atmospheric prediction studies (coaps),60.72
14,14.1,14.1.1,174,comoros,2019,center for ocean-atmospheric prediction studies (coaps),60.87
14,14.1,14.1.1,174,comoros,2020,center for ocean-atmospheric prediction studies (coaps),57.67
14,14.1,14.1.1,174,comoros,2021,center for ocean-atmospheric prediction studies (coaps),59.99
14,14.1,14.1.1,178,congo,2017,center for ocean-atmospheric prediction studies (coaps),97.81
14,14.1,14.1.1,178,congo,2018,center for ocean-atmospheric prediction studies (coaps),98.85
14,14.1,14.1.1,178,congo,2019,center for ocean-atmospheric prediction studies (coaps),99.63
14,14.1,14.1.1,178,congo,2020,center for ocean-atmospheric prediction studies (coaps),98.14
14,14.1,14.1.1,178,congo,2021,center for ocean-atmospheric prediction studies (coaps),98.52
14,14.1,14.1.1,188,costa rica,2017,center for ocean-atmospheric prediction studies (coaps),69.4
14,14.1,14.1.1,188,costa rica,2018,center for ocean-atmospheric prediction studies (coaps),72.18
14,14.1,14.1.1,188,costa rica,2019,center for ocean-atmospheric prediction studies (coaps),70.34
14,14.1,14.1.1,188,costa rica,2020,center for ocean-atmospheric prediction studies (coaps),68.98
14,14.1,14.1.1,188,costa rica,2021,center for ocean-atmospheric prediction studies (coaps),72.01
14,14.1,14.1.1,384,côte d'ivoire,2017,center for ocean-atmospheric prediction studies (coaps),99.97
14,14.1,14.1.1,384,côte d'ivoire,2018,center for ocean-atmospheric prediction studies (coaps),98.63
14,14.1,14.1.1,384,côte d'ivoire,2019,center for ocean-atmospheric prediction studies (coaps),98.27
14,14.1,14.1.1,384,côte d'ivoire,2020,center for ocean-atmospheric prediction studies (coaps),98.16
14,14.1,14.1.1,384,côte d'ivoire,2021,center for ocean-atmospheric prediction studies (coaps),98.46
14,14.1,14.1.1,191,croatia,2017,center for ocean-atmospheric prediction studies (coaps),57.37
14,14.1,14.1.1,191,croatia,2018,center for ocean-atmospheric prediction studies (coaps),63.44
14,14.1,14.1.1,191,croatia,2019,center for ocean-atmospheric prediction studies (coaps),61.04
14,14.1,14.1.1,191,croatia,2020,center for ocean-atmospheric prediction studies (coaps),62.23
14,14.1,14.1.1,191,croatia,2021,center for ocean-atmospheric prediction studies (coaps),58.7
14,14.1,14.1.1,196,cyprus,2017,center for ocean-atmospheric prediction studies (coaps),77.58
14,14.1,14.1.1,196,cyprus,2018,center for ocean-atmospheric prediction studies (coaps),73.99
14,14.1,14.1.1,196,cyprus,2019,center for ocean-atmospheric prediction studies (coaps),68.72
14,14.1,14.1.1,196,cyprus,2020,center for ocean-atmospheric prediction studies (coaps),77.17
14,14.1,14.1.1,196,cyprus,2021,center for ocean-atmospheric prediction studies (coaps),76.06
14,14.1,14.1.1,408,democratic people's republic of korea,2017,center for ocean-atmospheric prediction studies (coaps),48.1
14,14.1,14.1.1,408,democratic people's republic of korea,2018,center for ocean-atmospheric prediction studies (coaps),41.2
14,14.1,14.1.1,408,democratic people's republic of korea,2019,center for ocean-atmospheric prediction studies (coaps),44.86
14,14.1,14.1.1,408,democratic people's republic of korea,2020,center for ocean-atmospheric prediction studies (coaps),48.03
14,14.1,14.1.1,408,democratic people's republic of korea,2021,center for ocean-atmospheric prediction studies (coaps),46.84
14,14.1,14.1.1,180,democratic republic of the congo,2017,center for ocean-atmospheric prediction studies (coaps),95.17
14,14.1,14.1.1,180,democratic republic of the congo,2018,center for ocean-atmospheric prediction studies (coaps),93.42
14,14.1,14.1.1,180,democratic republic of the congo,2019,center for ocean-atmospheric prediction studies (coaps),94.9
14,14.1,14.1.1,180,democratic republic of the congo,2020,center for ocean-atmospheric prediction studies (coaps),95.65
14,14.1,14.1.1,180,democratic republic of the congo,2021,center for ocean-atmospheric prediction studies (coaps),97.58
14,14.1,14.1.1,208,denmark,2017,center for ocean-atmospheric prediction studies (coaps),90.97
14,14.1,14.1.1,208,denmark,2018,center for ocean-atmospheric prediction studies (coaps),74.69
14,14.1,14.1.1,208,denmark,2019,center for ocean-atmospheric prediction studies (coaps),74.4
14,14.1,14.1.1,208,denmark,2020,center for ocean-atmospheric prediction studies (coaps),83.24
14,14.1,14.1.1,208,denmark,2021,center for ocean-atmospheric prediction studies (coaps),79.1
14,14.1,14.1.1,262,djibouti,2017,center for ocean-atmospheric prediction studies (coaps),79.21
14,14.1,14.1.1,262,djibouti,2018,center for ocean-atmospheric prediction studies (coaps),83.07
14,14.1,14.1.1,262,djibouti,2019,center for ocean-atmospheric prediction studies (coaps),87.93
14,14.1,14.1.1,262,djibouti,2020,center for ocean-atmospheric prediction studies (coaps),77.44
14,14.1,14.1.1,262,djibouti,2021,center for ocean-atmospheric prediction studies (coaps),82.44
14,14.1,14.1.1,212,dominica,2017,center for ocean-atmospheric prediction studies (coaps),51.6
14,14.1,14.1.1,212,dominica,2018,center for ocean-atmospheric prediction studies (coaps),53.94
14,14.1,14.1.1,212,dominica,2019,center for ocean-atmospheric prediction studies (coaps),57.46
14,14.1,14.1.1,212,dominica,2020,center for ocean-atmospheric prediction studies (coaps),51.64
14,14.1,14.1.1,212,dominica,2021,center for ocean-atmospheric prediction studies (coaps),51.14
14,14.1,14.1.1,214,dominican republic,2017,center for ocean-atmospheric prediction studies (coaps),64.93
14,14.1,14.1.1,214,dominican republic,2018,center for ocean-atmospheric prediction studies (coaps),65.39
14,14.1,14.1.1,214,dominican republic,2019,center for ocean-atmospheric prediction studies (coaps),65.72
14,14.1,14.1.1,214,dominican republic,2020,center for ocean-atmospheric prediction studies (coaps),59.07
14,14.1,14.1.1,214,dominican republic,2021,center for ocean-atmospheric prediction studies (coaps),58.19
14,14.1,14.1.1,14,eastern africa,2022,center for ocean-atmospheric prediction studies (coaps),61.35
14,14.1,14.1.1,753,eastern and south-eastern asia,2017,center for ocean-atmospheric prediction studies (coaps),71.44
14,14.1,14.1.1,753,eastern and south-eastern asia,2018,center for ocean-atmospheric prediction studies (coaps),74.42
14,14.1,14.1.1,753,eastern and south-eastern asia,2019,center for ocean-atmospheric prediction studies (coaps),76.89
14,14.1,14.1.1,753,eastern and south-eastern asia,2020,center for ocean-atmospheric prediction studies (coaps),75.79
14,14.1,14.1.1,753,eastern and south-eastern asia,2021,center for ocean-atmospheric prediction studies (coaps),71.51
14,14.1,14.1.1,753,eastern and south-eastern asia,2022,center for ocean-atmospheric prediction studies (coaps),68.67
14,14.1,14.1.1,30,eastern asia,2017,center for ocean-atmospheric prediction studies (coaps),75.11
14,14.1,14.1.1,30,eastern asia,2018,center for ocean-atmospheric prediction studies (coaps),78.05
14,14.1,14.1.1,30,eastern asia,2019,center for ocean-atmospheric prediction studies (coaps),80.97
14,14.1,14.1.1,30,eastern asia,2020,center for ocean-atmospheric prediction studies (coaps),81.53
14,14.1,14.1.1,30,eastern asia,2021,center for ocean-atmospheric prediction studies (coaps),75.36
14,14.1,14.1.1,30,eastern asia,2022,center for ocean-atmospheric prediction studies (coaps),82.27
14,14.1,14.1.1,151,eastern europe,2017,center for ocean-atmospheric prediction studies (coaps),62.71
14,14.1,14.1.1,151,eastern europe,2018,center for ocean-atmospheric prediction studies (coaps),61.14
14,14.1,14.1.1,151,eastern europe,2019,center for ocean-atmospheric prediction studies (coaps),60.97
14,14.1,14.1.1,151,eastern europe,2020,center for ocean-atmospheric prediction studies (coaps),64.34
14,14.1,14.1.1,151,eastern europe,2021,center for ocean-atmospheric prediction studies (coaps),59.81
14,14.1,14.1.1,151,eastern europe,2022,center for ocean-atmospheric prediction studies (coaps),62.01
14,14.1,14.1.1,218,ecuador,2017,center for ocean-atmospheric prediction studies (coaps),99.29
14,14.1,14.1.1,218,ecuador,2018,center for ocean-atmospheric prediction studies (coaps),99.08
14,14.1,14.1.1,218,ecuador,2019,center for ocean-atmospheric prediction studies (coaps),98.81
14,14.1,14.1.1,218,ecuador,2020,center for ocean-atmospheric prediction studies (coaps),99.52
14,14.1,14.1.1,218,ecuador,2021,center for ocean-atmospheric prediction studies (coaps),99.85
14,14.1,14.1.1,818,egypt,2017,center for ocean-atmospheric prediction studies (coaps),92.7
14,14.1,14.1.1,818,egypt,2018,center for ocean-atmospheric prediction studies (coaps),83.61
14,14.1,14.1.1,818,egypt,2019,center for ocean-atmospheric prediction studies (coaps),80.17
14,14.1,14.1.1,818,egypt,2020,center for ocean-atmospheric prediction studies (coaps),84.63
14,14.1,14.1.1,818,egypt,2021,center for ocean-atmospheric prediction studies (coaps),84.91
14,14.1,14.1.1,222,el salvador,2017,center for ocean-atmospheric prediction studies (coaps),43.2
14,14.1,14.1.1,222,el salvador,2018,center for ocean-atmospheric prediction studies (coaps),40.47
14,14.1,14.1.1,222,el salvador,2019,center for ocean-atmospheric prediction studies (coaps),39.71
14,14.1,14.1.1,222,el salvador,2020,center for ocean-atmospheric prediction studies (coaps),47.03
14,14.1,14.1.1,222,el salvador,2021,center for ocean-atmospheric prediction studies (coaps),49.13
14,14.1,14.1.1,226,equatorial guinea,2017,center for ocean-atmospheric prediction studies (coaps),98.49
14,14.1,14.1.1,226,equatorial guinea,2018,center for ocean-atmospheric prediction studies (coaps),98.5
14,14.1,14.1.1,226,equatorial guinea,2019,center for ocean-atmospheric prediction studies (coaps),98.74
14,14.1,14.1.1,226,equatorial guinea,2020,center for ocean-atmospheric prediction studies (coaps),98.5
14,14.1,14.1.1,226,equatorial guinea,2021,center for ocean-atmospheric prediction studies (coaps),96.55
