"SCENARIO","Scenario","PLASTIC_LEAKAGE_TO_OCEAN","Variable","TIME","Time","Value","Flag Codes","Flags"
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2035","2035",186.794785,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2036","2036",192.150298,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2037","2037",197.580183,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2038","2038",203.097412,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2039","2039",208.703242,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2040","2040",214.407563,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2041","2041",220.209168,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2042","2042",226.10632,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2043","2043",232.099127,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2044","2044",238.189447,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2045","2045",244.374888,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2046","2046",250.654259,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2047","2047",257.024428,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2048","2048",263.48452,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2049","2049",270.032922,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2050","2050",276.679847,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2051","2051",283.42393,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2052","2052",290.264084,,
