bleaching,ocean,year,depth,storms,humanimpact,siltation,dynamite,poison,sewage,industrial,commercial
no,pacific,2006,10.0,no,low,occasionally,none,low,low,none,low
no,pacific,2006,3.0,yes,low,occasionally,none,low,low,none,low
no,pacific,2006,10.0,yes,low,occasionally,none,low,low,none,low
no,pacific,2006,3.0,yes,low,occasionally,none,low,low,none,low
no,pacific,2006,10.0,yes,low,occasionally,none,low,low,none,low
no,pacific,2000,3.0,no,moderate,never,moderate,low,none,none,none
no,pacific,2000,10.0,no,moderate,never,moderate,low,none,none,none
no,indian,2001,3.0,no,none,never,none,none,none,none,none
no,indian,2001,10.0,no,none,never,none,none,none,none,none
no,pacific,2005,3.0,yes,moderate,occasionally,none,none,low,none,moderate
no,pacific,2005,10.0,yes,moderate,occasionally,none,none,low,none,moderate
no,pacific,2006,3.0,yes,moderate,occasionally,none,none,low,none,moderate
no,pacific,2006,10.0,yes,moderate,occasionally,none,none,low,none,moderate
no,pacific,2006,3.0,no,low,occasionally,none,low,low,none,low
no,pacific,2006,10.0,no,low,occasionally,none,low,low,none,low
no,pacific,2006,3.0,no,low,occasionally,none,low,low,none,low
no,pacific,2006,10.0,no,low,occasionally,none,low,low,none,low
no,indian,2001,3.0,no,moderate,never,none,none,none,none,none
no,indian,2001,10.0,no,moderate,never,none,none,none,none,none
no,pacific,2003,10.0,yes,low,never,none,none,low,none,high
no,pacific,2005,3.0,yes,moderate,occasionally,none,none,low,none,moderate
no,pacific,2005,10.0,yes,moderate,occasionally,none,none,low,none,moderate
no,pacific,2006,3.0,yes,moderate,occasionally,none,none,low,none,moderate
no,pacific,2006,10.0,yes,moderate,occasionally,none,none,low,none,moderate
no,pacific,2009,3.0,no,low,occasionally,none,low,none,none,low
no,pacific,2009,10.0,no,low,occasionally,none,low,none,none,low
no,pacific,2008,3.0,no,none,occasionally,none,none,none,none,none
no,pacific,2008,10.0,no,none,occasionally,none,none,none,none,none
no,pacific,2009,3.0,no,low,occasionally,none,low,none,none,low
no,pacific,2009,10.0,no,low,occasionally,none,low,none,none,low
no,pacific,2008,3.0,no,none,occasionally,none,none,none,none,none
no,pacific,2008,10.0,no,none,occasionally,none,none,none,none,none
no,pacific,2009,3.0,no,low,occasionally,none,low,none,none,low
no,pacific,2009,10.0,no,low,occasionally,none,low,none,none,low
no,pacific,2006,3.0,no,low,occasionally,none,low,low,none,low
no,pacific,2006,10.0,no,low,occasionally,none,low,low,none,low
no,pacific,2006,3.0,no,low,occasionally,none,low,low,none,low
no,pacific,2006,10.0,no,low,occasionally,none,low,low,none,low
no,pacific,2004,3.0,yes,moderate,never,none,none,none,none,moderate
no,pacific,2004,10.0,yes,moderate,never,none,none,none,none,moderate
no,pacific,2000,3.0,no,low,never,none,low,low,none,none
no,pacific,2000,10.0,no,low,never,none,low,low,none,none
no,pacific,2004,3.0,yes,moderate,never,none,none,none,none,moderate
no,pacific,2004,10.0,yes,moderate,never,none,none,none,none,moderate
no,pacific,2004,3.0,yes,moderate,never,none,none,none,none,moderate
no,pacific,2004,10.0,yes,moderate,never,none,none,none,none,moderate
no,pacific,2004,3.0,yes,moderate,never,none,none,none,none,moderate
no,pacific,2004,10.0,yes,moderate,never,none,none,none,none,moderate
no,pacific,2000,3.0,no,low,never,none,low,low,none,none
no,pacific,2000,10.0,no,low,never,none,low,low,none,none
no,pacific,2010,9.0,no,moderate,always,none,none,low,moderate,low
no,pacific,2010,9.0,no,moderate,always,none,none,low,moderate,low
no,pacific,2010,9.0,no,moderate,always,none,none,low,moderate,low
no,pacific,2009,11.0,no,low,often,none,none,none,low,low
no,pacific,2005,10.0,no,low,often,none,none,none,low,low
no,pacific,2009,11.0,no,low,often,none,none,none,low,low
no,pacific,2006,12.0,no,low,often,none,none,none,low,low
no,pacific,2009,11.0,no,low,often,none,none,none,low,low
no,pacific,2010,11.0,no,moderate,always,none,none,low,moderate,low
no,pacific,2010,11.0,no,moderate,always,none,none,low,moderate,low
no,pacific,2009,3.0,no,none,occasionally,none,low,none,none,low
no,pacific,2009,10.0,no,none,occasionally,none,low,none,none,low
no,pacific,2006,12.0,no,low,often,none,none,none,low,low
no,pacific,2009,11.0,no,low,often,none,none,none,low,low
no,pacific,2010,11.0,no,moderate,always,none,none,low,moderate,low
no,pacific,2010,11.0,no,moderate,always,none,none,low,moderate,low
no,pacific,2010,11.0,no,moderate,always,none,none,low,moderate,low
no,pacific,2009,3.0,no,none,occasionally,none,low,none,none,low
no,pacific,2009,10.0,no,none,occasionally,none,low,none,none,low
no,pacific,2009,3.0,no,none,occasionally,none,low,none,none,low
no,pacific,2005,10.0,no,low,often,none,none,none,low,low
no,pacific,2010,6.0,no,moderate,always,none,none,low,moderate,low
no,pacific,2010,6.0,no,moderate,always,none,none,low,moderate,low
no,pacific,2010,6.0,no,moderate,always,none,none,low,moderate,low
no,pacific,2005,3.2,no,high,occasionally,low,low,high,high,high
no,pacific,2001,3.0,no,low,never,none,none,none,none,none
no,pacific,2002,3.0,yes,low,never,none,none,none,none,none
no,pacific,2006,3.0,yes,moderate,occasionally,none,none,low,none,moderate
no,pacific,2001,2.0,no,low,never,none,none,none,none,none
no,pacific,2006,3.0,no,low,never,none,none,none,none,low
no,pacific,2012,2.5,no,low,occasionally,none,none,none,none,none
no,pacific,2004,3.0,yes,low,never,none,none,none,none,none
no,pacific,2005,3.2,no,high,occasionally,low,low,high,high,high
no,pacific,2003,3.0,yes,low,often,none,none,none,moderate,low
no,pacific,2001,3.0,no,low,never,none,none,none,none,none
no,pacific,2003,3.0,yes,low,often,none,none,none,moderate,low
no,pacific,2004,2.5,yes,moderate,occasionally,none,none,none,none,moderate
no,pacific,2004,2.5,yes,moderate,occasionally,none,none,none,none,moderate
no,pacific,2005,3.0,no,low,occasionally,none,none,none,none,low
no,pacific,2005,3.0,no,low,never,none,none,none,none,none
no,pacific,2006,3.0,no,low,never,none,none,none,none,none
no,pacific,2001,3.0,no,low,never,none,none,none,none,none
no,pacific,2001,3.0,no,low,never,none,none,none,none,none
no,pacific,2001,3.0,no,low,never,none,none,none,none,none
no,pacific,2012,2.5,no,low,occasionally,none,none,none,none,none
no,indian,2002,3.0,no,low,never,none,none,none,none,none
no,indian,2002,10.0,no,low,never,none,none,none,none,none
no,pacific,2001,3.0,no,high,never,none,none,none,none,none
no,pacific,2001,2.0,no,low,never,none,none,none,none,none
no,pacific,2003,4.0,no,low,never,none,none,none,none,none
no,pacific,2004,4.0,yes,low,never,none,none,none,none,none
no,pacific,2005,3.0,no,low,occasionally,none,none,none,none,low
no,pacific,2006,4.0,no,low,never,none,none,none,none,none
no,pacific,2012,4.0,no,low,never,none,none,none,none,none
no,pacific,2001,6.0,no,moderate,never,none,none,none,none,none
no,pacific,2009,3.0,yes,moderate,never,moderate,moderate,low,none,high
no,pacific,2009,10.0,yes,moderate,never,moderate,moderate,low,none,high
no,pacific,2004,3.0,no,low,occasionally,none,none,low,none,moderate
no,pacific,2009,3.0,yes,moderate,never,moderate,moderate,low,none,high
no,pacific,2009,10.0,yes,moderate,never,moderate,moderate,low,none,high
no,pacific,2005,10.0,yes,low,occasionally,none,none,low,none,none
no,pacific,2010,3.0,no,moderate,occasionally,none,none,low,none,low
no,pacific,2004,3.0,no,moderate,occasionally,none,none,none,none,none
no,pacific,2012,3.0,yes,low,occasionally,none,none,low,none,none
no,pacific,2005,3.0,no,moderate,occasionally,none,none,low,none,moderate
no,pacific,2006,3.0,yes,moderate,occasionally,none,none,low,none,moderate
no,pacific,1999,3.0,no,high,never,high,high,low,moderate,none
no,pacific,1999,10.0,no,high,never,high,high,low,moderate,none
no,pacific,1999,3.0,no,high,never,high,high,low,moderate,none
no,pacific,1999,10.0,no,high,never,high,high,low,moderate,none
no,pacific,1999,3.0,no,high,never,high,high,low,moderate,none
no,pacific,1999,10.0,no,high,never,high,high,low,moderate,none
no,pacific,2010,8.0,no,low,often,none,none,none,low,low
no,pacific,2010,8.0,no,low,often,none,none,none,low,low
no,indian,2002,3.0,no,low,never,none,none,low,low,none
no,indian,2002,10.0,no,low,never,none,none,low,low,none
no,pacific,2003,3.0,no,low,never,none,none,low,low,none
no,pacific,2003,10.0,no,low,never,none,none,low,low,none
no,pacific,2009,3.0,yes,none,occasionally,none,none,none,none,low
no,pacific,2009,10.0,yes,none,occasionally,none,none,none,none,low
no,pacific,2009,3.0,yes,none,occasionally,none,none,none,none,low
no,pacific,2009,10.0,yes,none,occasionally,none,none,none,none,low
no,pacific,2009,3.0,yes,none,occasionally,none,none,none,none,low
no,pacific,2009,10.0,yes,none,occasionally,none,none,none,none,low
no,pacific,2009,3.0,no,none,occasionally,none,none,low,none,low
no,pacific,2009,3.0,no,none,occasionally,none,none,low,none,low
no,pacific,2009,3.0,no,none,occasionally,none,none,low,none,low
no,pacific,2009,3.0,no,none,occasionally,none,none,low,none,low
no,pacific,2016,10.0,yes,low,always,none,none,low,none,none
no,pacific,2017,5.0,no,high,often,none,moderate,moderate,none,moderate
no,pacific,2017,5.0,no,high,often,none,moderate,moderate,none,moderate
no,indian,2002,3.0,no,low,never,none,none,low,low,none
no,indian,2002,10.0,no,low,never,none,none,low,low,none
no,indian,2002,3.0,no,low,never,none,none,low,low,none
no,indian,2002,10.0,no,low,never,none,none,low,low,none
no,pacific,2003,3.0,no,low,never,none,none,low,low,none
no,pacific,2003,10.0,no,low,never,none,none,low,low,none
no,pacific,2009,3.0,no,none,occasionally,none,none,low,none,low
no,indian,2002,3.0,yes,low,never,none,none,low,low,none
no,indian,2002,10.0,yes,low,never,none,none,low,low,none
no,pacific,2016,10.0,yes,low,always,none,none,low,none,none
no,pacific,2012,5.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2012,10.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2012,5.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2014,7.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2012,6.0,yes,moderate,never,low,low,low,none,moderate
no,pacific,2016,3.0,no,low,occasionally,none,none,none,none,low
no,pacific,2013,6.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2013,10.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2013,5.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2013,10.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2014,9.0,yes,moderate,never,low,low,low,none,moderate
no,pacific,2015,7.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2003,3.0,yes,low,never,none,none,low,low,none
no,pacific,2003,10.0,yes,low,never,none,none,low,low,none
no,pacific,2015,7.0,yes,moderate,occasionally,none,none,low,none,low
no,pacific,2015,7.0,yes,moderate,occasionally,none,none,low,none,low
no,pacific,2003,3.0,yes,low,never,low,none,low,low,none
no,pacific,2003,10.0,yes,low,never,low,none,low,low,none
no,pacific,2003,3.0,yes,low,never,none,none,low,low,none
no,pacific,2003,10.0,yes,low,never,none,none,low,low,none
no,pacific,2017,4.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2017,8.0,yes,moderate,never,none,none,moderate,none,none
no,indian,2015,4.0,yes,moderate,never,none,none,moderate,none,moderate
no,indian,2015,4.0,yes,moderate,never,none,none,moderate,none,moderate
no,indian,2017,7.0,yes,moderate,never,none,none,moderate,none,moderate
no,indian,2017,4.0,yes,moderate,never,none,none,moderate,none,moderate
no,indian,2017,7.0,yes,moderate,never,none,none,moderate,none,moderate
no,indian,2017,4.0,yes,moderate,never,none,none,moderate,none,moderate
no,pacific,2013,5.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2013,10.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2013,5.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2013,10.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2014,7.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2015,7.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2013,12.0,yes,moderate,occasionally,none,none,low,low,moderate
no,pacific,2013,12.0,yes,moderate,occasionally,none,none,low,low,moderate
no,pacific,2014,7.0,yes,high,often,moderate,moderate,low,moderate,low
no,pacific,2012,8.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2015,6.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2012,6.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2014,7.0,yes,high,often,moderate,moderate,low,moderate,low
no,pacific,2012,8.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2014,9.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2016,4.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2016,8.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2016,4.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2016,8.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2015,8.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2015,8.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2016,4.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2016,8.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2016,4.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2016,8.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2017,4.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2017,8.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2017,4.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2017,8.0,yes,moderate,never,none,none,moderate,none,none
no,pacific,2013,5.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2013,10.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2014,7.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2015,7.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2013,10.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2013,6.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2014,7.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2015,7.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2012,6.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2015,6.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2014,7.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2012,6.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2015,6.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2012,6.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2014,8.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2015,5.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2012,8.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2014,9.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2016,6.0,yes,high,never,high,moderate,low,low,moderate
no,pacific,2012,8.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2014,7.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2015,7.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2016,6.0,yes,high,never,high,moderate,low,low,moderate
no,pacific,2012,6.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2015,6.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2012,8.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2014,8.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2015,5.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2012,8.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2015,7.0,yes,high,never,high,moderate,low,moderate,low
no,pacific,2003,3.0,yes,low,never,low,none,low,low,none
no,pacific,2003,10.0,yes,low,never,low,none,low,low,none
no,pacific,2013,10.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2003,3.0,yes,low,never,none,none,low,low,none
no,pacific,2003,10.0,yes,low,never,none,none,low,low,none
no,pacific,2012,5.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2012,10.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2012,6.0,yes,moderate,never,low,low,low,none,moderate
no,pacific,2013,10.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2014,9.0,yes,moderate,never,low,low,low,none,moderate
no,pacific,2012,5.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2012,5.0,yes,high,often,moderate,moderate,low,low,low
no,pacific,2013,12.0,no,none,never,none,none,none,none,none
no,pacific,2014,11.0,no,none,never,none,none,none,none,none
no,pacific,2013,11.0,no,none,never,none,none,none,none,none
no,pacific,2014,12.5,no,none,never,none,none,none,none,none
no,pacific,2016,11.5,no,none,never,none,none,none,none,none
no,pacific,2014,12.5,no,none,never,none,none,none,none,none
no,pacific,2016,11.5,no,none,never,none,none,none,none,none
no,pacific,2013,12.0,no,none,never,none,none,none,none,none
no,pacific,2014,12.5,no,none,never,none,none,none,none,none
no,pacific,2011,5.0,no,low,never,none,none,none,none,none
